acc_1,acc_2,acc_3,tacc,av_1,av_2,av_3,tav
7.3885,-0.84395,6.1491,7.639,-0.38048,0.015412,-0.30069,7.7089
7.8534,-2.6624,5.5677,7.738,0.18069,0.026411,-0.18744,7.8084
7.2372,0.37602,6.8842,7.838,-0.2085,-0.023409,-0.11174,7.9075
7.4988,-1.2927,6.6345,7.937,0.20282,0.027021,0.064051,8.0069
6.9635,-1.0095,6.4999,8.036,0.20418,0.023614,0.1927,8.1061
7.5837,-1.0632,6.2381,8.135,0.46632,-0.0082706,0.32175,8.2054
5.4636,-0.54816,7.0361,8.234,0.46012,0.045517,0.48782,8.3046
7.4835,-1.2047,6.2203,8.334,0.54197,0.042561,0.59024,8.4039
7.0264,-0.12709,6.1037,8.433,0.48841,0.048224,0.63311,8.5032
7.3862,0.63797,6.4845,8.532,0.49341,0.01919,0.64515,8.6025
7.478,0.35566,6.0774,8.631,0.53938,0.019835,0.60706,8.7018
7.6457,1.051,5.5838,8.731,0.61988,-0.046531,0.50956,8.8011
6.8905,1.6036,7.0655,8.83,0.29591,0.0079351,0.39032,8.9004
7.5792,0.97807,5.5707,8.929,0.14834,0.011084,0.27376,8.9998
7.5027,1.2024,5.995,9.028,0.14308,-0.014953,0.19922,9.0991
6.8074,-0.54023,6.9768,9.127,0.13869,-0.024384,0.1889,9.1984
7.3987,-0.038919,6.665,9.227,0.0084219,-0.033092,0.24019,9.2978
6.9462,0.054786,6.843,9.326,-0.21898,-0.030654,-0.063714,9.3972
7.3078,1.7219,6.7328,9.425,-0.30337,0.010575,-0.26622,9.4965
6.9722,1.8078,7.0664,9.524,-0.67427,0.063293,-0.50771,9.5959
7.1388,0.75323,6.3592,9.624,-0.59937,0.076427,-0.51493,9.6953
6.9376,-0.35446,6.727,9.723,-0.50154,0.09543,-0.54059,9.7946
7.3725,0.67719,6.5701,9.822,-0.77273,0.041307,-0.67587,9.894
8.0015,-0.36015,6.5998,9.921,-0.63549,0.05244,-0.7528,9.9934
8.0206,-1.2107,5.312,10.02,-0.75223,0.0028004,-0.65839,10.093
7.8289,-1.8211,6.0801,10.12,-0.2353,0.0053101,-0.43726,10.192
7.8393,-0.16017,6.0943,10.219,-0.22047,0.024155,-0.46343,10.292
7.2497,-0.77943,6.4853,10.318,-0.13286,0.013018,-0.31217,10.391
7.524,-0.70818,6.1859,10.417,0.045789,0.011958,-0.23007,10.491
7.2422,-1.214,6.5086,10.516,0.081546,0.02666,-0.1471,10.59
7.1244,0.5543,6.8695,10.616,-0.20354,-0.025612,-0.14285,10.69
7.2385,-0.27139,6.7077,10.715,-0.0073069,0.028845,-0.071646,10.789
6.7093,0.56986,7.0307,10.814,0.061802,0.020948,-0.016176,10.887
7.156,-1.2173,6.9048,10.913,0.29433,0.044037,0.176,10.987
6.9291,-0.92283,7.2084,11.013,0.49421,0.048794,0.48251,11.086
6.9183,-0.62615,6.8852,11.112,0.36808,0.047796,0.59176,11.186
7.6537,0.099094,6.6004,11.211,0.58137,0.031731,0.72041,11.285
